scan, BCID, sigma_vis, sigma_vis_err, lumi_sp, lumi_sp_err, Sigma_x, Sigma_y 
1 1 2.53238148803 0.00629326960008 2138.05300055 8.28883176532 0.0255023088446 0.0328247127151
1 241 2.52108585457 0.00728621549862 2088.14868676 9.65748057429 0.0258708988038 0.0331303455007
1 2881 2.52084907018 0.00552523683185 2229.29775693 7.75508443873 0.0247974572713 0.0323760358217
1 3121 2.50531003018 0.00622831432345 2157.60471114 8.64516941614 0.0250650807795 0.0330946590494
2 1 2.54379739526 0.00645738825617 2112.83544858 8.38397396394 0.0258526801864 0.0327663188507
2 241 2.53803169603 0.00715896607923 2074.14391773 9.04502156915 0.0260549705318 0.0331184061563
2 2881 2.53744438209 0.00570623139716 2206.87832226 7.82386979797 0.0250130523185 0.032423046664
2 3121 2.53332815717 0.00637558090016 2113.8653469 8.48391021864 0.0254366552813 0.033285997619
3 1 2.57397425495 0.00679262211948 2001.6631113 8.31587034107 0.0268078323455 0.0333538688799
3 241 2.577875386 0.00766053504143 1961.1314049 9.11130489501 0.0270640950281 0.0337208642971
3 2881 2.56260453539 0.00649164600337 2079.01608658 8.69545328627 0.0261372179529 0.0329368219755
3 3121 2.58406335003 0.00657885635341 1980.61863902 8.00181776854 0.0266555704608 0.0339008087033
4 1 2.47608323302 0.0151193183667 116.43185861 1.10381479847 0.121434094403 0.126586220405
4 721 2.48451410342 0.012034307441 123.092806508 0.903706974374 0.119604994198 0.121567339851
4 1821 2.46618777791 0.0147318909583 117.534208623 1.10393563527 0.11978443529 0.127125953772
5 1 2.57644054333 0.0153692849034 108.519183551 0.945501275893 0.127014164474 0.129849484012
5 721 2.52435894087 0.0130246721074 119.368200247 0.952566794367 0.121978601172 0.122921147821
5 1821 2.53733381582 0.0158640502014 108.867813042 1.02483350264 0.124336344673 0.132221264797
6 1 2.54060589251 0.0153101954635 110.907706776 0.979064653088 0.125413880876 0.128674227285
6 721 2.50941196228 0.0131031261879 120.819636709 0.972106518729 0.121286286026 0.122137683431
6 1821 2.52220301243 0.0152589810084 110.054488429 1.02998614637 0.124076408012 0.13106958668
8 1 2.51510415557 0.0187176454515 106.594167647 1.18554666607 0.127922107342 0.131256208099
8 721 2.50381286383 0.0173440063567 112.398793368 1.12446707848 0.124147726371 0.128262140164
8 1821 2.45975373057 0.0218563807611 113.735556675 1.55347757586 0.120873829997 0.130187821746
10 1 2.55972361387 0.0101657171272 105.96258147 0.594692151258 0.124762800817 0.135382102899
10 2361 2.54815097786 0.0104061311191 119.455519665 0.639422146205 0.119444594754 0.125437150066
10 2881 2.54054309004 0.0101082525771 105.438134318 0.492309913677 0.127156962766 0.133493783768
11 1 2.5710302775 0.0103867224666 101.172019684 0.571999573338 0.12982142447 0.136267444545
11 2361 2.55721732006 0.0105679442984 112.256390974 0.60395142051 0.125653495873 0.126885866585
11 2881 2.56787614928 0.0103758311957 100.53570744 0.475487498276 0.131553391889 0.135324525554
14 1 2.5837760437 0.0107797404143 94.4616208963 0.549405165747 0.137663801274 0.137633372139
14 2361 2.60249929113 0.0109724235451 101.678306311 0.575539007627 0.134875643697 0.130507980008
14 2881 2.58056131785 0.0107787238864 95.3618115251 0.468381942788 0.137875118004 0.136125194066
15 1 2.59682508377 0.0116896475547 111.331619363 0.618993744369 0.12391387408 0.129735981073
15 2361 2.5761987982 0.0116325300635 110.32858136 0.538048828348 0.124251537713 0.130559685556
15 2881 2.58585057117 0.0116622118001 114.411256196 0.602674159394 0.122454339633 0.127748546323
